bray_curtis_binary	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	0.952	0.982	0.989	0.984	0.984	1.000	0.992	1.000	0.985	1.000	1.000
E2	0.952	0	0.965	0.978	0.951	0.968	1.000	0.983	1.000	0.985	1.000	1.000
E3	0.982	0.965	0	0.987	0.945	0.964	0.992	0.991	1.000	0.992	0.991	1.000
E4	0.989	0.978	0.987	0	0.977	0.989	1.000	0.988	1.000	0.979	1.000	1.000
E5	0.984	0.951	0.945	0.977	0	0.975	0.992	0.983	1.000	0.984	0.992	1.000
E6	0.984	0.968	0.964	0.989	0.975	0	1.000	0.992	1.000	0.992	1.000	1.000
E7	1.000	1.000	0.992	1.000	0.992	1.000	0	0.984	0.993	1.000	1.000	0.993
N1	0.992	0.983	0.991	0.988	0.983	0.992	0.984	0	0.992	1.000	1.000	1.000
N2	1.000	1.000	1.000	1.000	1.000	1.000	0.993	0.992	0	1.000	1.000	0.992
O1	0.985	0.985	0.992	0.979	0.984	0.992	1.000	1.000	1.000	0	0.984	1.000
O2	1.000	1.000	0.991	1.000	0.992	1.000	1.000	1.000	1.000	0.984	0	1.000
S1	1.000	1.000	1.000	1.000	1.000	1.000	0.993	1.000	0.992	1.000	1.000	0
