Phylum	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Bacillota	64.5	72.8	55.7	73.4	63	90.2	37	69.4	28.4	59	33.6	41	44.3	46.2	53.2	53.2	69.7	46.5	49.8
Bacteroidota	29.7	19.9	43.4	18	26	0	25.4	18.7	32.7	29.1	31.2	31.5	30.9	21.7	26.9	19.9	6.12	28.1	25.9
Fusobacteriota	0	0	0	0	0	0.306	8.26	5.81	17.7	9.48	11	2.75	7.34	1.83	3.06	5.81	3.06	11.3	7.5
Pseudomonadota	0	0	0	0	0	0	0.612	0.306	0	0.306	0	0.612	3.36	11.9	7.95	15.3	12.2	3.98	4.1
Spirochaetota	0	0	0	0	0	0	6.73	0	2.45	0.917	4.28	3.67	7.03	0	0	0	0	0	3.6
Actinomycetota	0.917	7.34	0.917	7.95	9.48	9.17	1.53	1.83	0	0.306	0.306	6.73	2.75	17.4	6.12	4.89	7.03	4.89	3.0
Patescibacteria	0	0	0	0	0	0.306	5.2	0.306	0.306	0	4.28	4.89	0	0.917	1.53	0.612	1.83	4.59	2.4
Synergistota	0	0	0	0	0	0	3.06	1.83	11.9	0.306	5.5	3.36	1.22	0	0.306	0	0	0	2.1
Campylobacterota	0	0	0	0	0	0	1.22	0	2.45	0	2.14	0.306	3.06	0	0.917	0.306	0	0.612	0.9
Thermodesulfobacteriota	0	0	0	0.612	0	0	10.1	1.83	3.67	0.306	6.73	4.28	0	0	0	0	0	0	0.5
Verrucomicrobiota	4.89	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Chloroflexota	0	0	0	0	0	0	0.917	0	0.306	0.306	0.917	0.917	0	0	0	0	0	0	0.1
