unifrac_binary	feces1	feces5	feces2	feces4	feces3	feces6	plaque1	plaque5	plaque3	plaque4	plaque2	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.331	0.404	0.493	0.441	0.479	0.950	0.946	0.950	0.948	0.959	0.942	0.956	0.966	0.943	0.953	0.961	0.916
feces5	0.331	0	0.344	0.410	0.527	0.462	0.929	0.928	0.954	0.927	0.929	0.916	0.924	0.980	0.953	0.960	0.956	0.918
feces2	0.404	0.344	0	0.478	0.484	0.555	0.894	0.875	0.875	0.874	0.887	0.874	0.900	0.902	0.884	0.890	0.909	0.849
feces4	0.493	0.410	0.478	0	0.480	0.499	0.918	0.923	0.931	0.916	0.929	0.904	0.919	0.946	0.918	0.939	0.930	0.904
feces3	0.441	0.527	0.484	0.480	0	0.480	0.837	0.802	0.810	0.835	0.842	0.839	0.912	0.896	0.861	0.907	0.915	0.832
feces6	0.479	0.462	0.555	0.499	0.480	0	0.868	0.887	0.934	0.931	0.888	0.870	0.910	0.970	0.944	0.951	0.913	0.901
plaque1	0.950	0.929	0.894	0.918	0.837	0.868	0	0.255	0.320	0.399	0.416	0.393	0.383	0.737	0.620	0.657	0.685	0.512
plaque5	0.946	0.928	0.875	0.923	0.802	0.887	0.255	0	0.312	0.429	0.417	0.417	0.462	0.814	0.690	0.700	0.743	0.554
plaque3	0.950	0.954	0.875	0.931	0.810	0.934	0.320	0.312	0	0.316	0.441	0.433	0.441	0.744	0.652	0.657	0.737	0.549
plaque4	0.948	0.927	0.874	0.916	0.835	0.931	0.399	0.429	0.316	0	0.365	0.443	0.415	0.657	0.574	0.581	0.657	0.506
plaque2	0.959	0.929	0.887	0.929	0.842	0.888	0.416	0.417	0.441	0.365	0	0.396	0.380	0.619	0.530	0.536	0.576	0.423
plaque6	0.942	0.916	0.874	0.904	0.839	0.870	0.393	0.417	0.433	0.443	0.396	0	0.340	0.628	0.516	0.565	0.563	0.453
saliva1	0.956	0.924	0.900	0.919	0.912	0.910	0.383	0.462	0.441	0.415	0.380	0.340	0	0.582	0.495	0.494	0.564	0.465
saliva2	0.966	0.980	0.902	0.946	0.896	0.970	0.737	0.814	0.744	0.657	0.619	0.628	0.582	0	0.193	0.229	0.283	0.381
saliva3	0.943	0.953	0.884	0.918	0.861	0.944	0.620	0.690	0.652	0.574	0.530	0.516	0.495	0.193	0	0.218	0.278	0.303
saliva4	0.953	0.960	0.890	0.939	0.907	0.951	0.657	0.700	0.657	0.581	0.536	0.565	0.494	0.229	0.218	0	0.211	0.280
saliva5	0.961	0.956	0.909	0.930	0.915	0.913	0.685	0.743	0.737	0.657	0.576	0.563	0.564	0.283	0.278	0.211	0	0.352
saliva6	0.916	0.918	0.849	0.904	0.832	0.901	0.512	0.554	0.549	0.506	0.423	0.453	0.465	0.381	0.303	0.280	0.352	0
