jaccard_binary	feces1	feces2	feces5	feces3	feces4	feces6	plaque1	plaque3	plaque5	plaque2	plaque6	saliva1	plaque4	saliva2	saliva3	saliva4	saliva6	saliva5
feces1	0	0.805	0.846	0.850	0.869	0.872	1.000	1.000	1.000	1.000	1.000	1.000	0.993	1.000	1.000	1.000	1.000	1.000
feces2	0.805	0	0.780	0.858	0.858	0.873	1.000	1.000	1.000	1.000	1.000	0.996	0.993	1.000	0.995	1.000	0.995	0.995
feces5	0.846	0.780	0	0.879	0.880	0.894	1.000	1.000	1.000	1.000	1.000	1.000	0.993	1.000	1.000	0.995	1.000	1.000
feces3	0.850	0.858	0.879	0	0.890	0.901	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.869	0.858	0.880	0.890	0	0.878	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces6	0.872	0.873	0.894	0.901	0.878	0	1.000	0.994	0.994	1.000	1.000	1.000	0.982	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.866	0.866	0.882	0.891	0.900	0.903	0.981	0.953	0.985	0.974	0.967
plaque3	1.000	1.000	1.000	1.000	1.000	0.994	0.866	0	0.858	0.888	0.906	0.887	0.899	0.982	0.964	0.979	0.971	0.971
plaque5	1.000	1.000	1.000	1.000	1.000	0.994	0.866	0.858	0	0.913	0.884	0.894	0.912	0.992	0.982	0.993	0.966	0.974
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.882	0.888	0.913	0	0.932	0.926	0.920	0.979	0.963	0.981	0.971	0.976
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.891	0.906	0.884	0.932	0	0.845	0.946	0.935	0.902	0.939	0.943	0.927
saliva1	1.000	0.996	1.000	1.000	1.000	1.000	0.900	0.887	0.894	0.926	0.845	0	0.904	0.950	0.910	0.914	0.953	0.935
plaque4	0.993	0.993	0.993	1.000	1.000	0.982	0.903	0.899	0.912	0.920	0.946	0.904	0	0.990	0.963	0.985	0.971	0.971
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.981	0.982	0.992	0.979	0.935	0.950	0.990	0	0.783	0.835	0.863	0.878
saliva3	1.000	0.995	1.000	1.000	1.000	1.000	0.953	0.964	0.982	0.963	0.902	0.910	0.963	0.783	0	0.831	0.842	0.843
saliva4	1.000	1.000	0.995	1.000	1.000	1.000	0.985	0.979	0.993	0.981	0.939	0.914	0.985	0.835	0.831	0	0.866	0.852
saliva6	1.000	0.995	1.000	1.000	1.000	1.000	0.974	0.971	0.966	0.971	0.943	0.953	0.971	0.863	0.842	0.866	0	0.873
saliva5	1.000	0.995	1.000	1.000	1.000	1.000	0.967	0.971	0.974	0.976	0.927	0.935	0.971	0.878	0.843	0.852	0.873	0
