Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria	10647	11399	12790	12385	13121	11822	10614	10377	10828	10868	11136	10281	11478	11737	11031	11371	11842	11514
Bacteria|Acidobacteria	31	45	24	18	21	29	90	42	58	28	73	75	37	30	98	43	14	35
Bacteria|Actinobacteria	2572	4210	3390	3225	1967	2536	2780	3318	3344	2898	3179	2771	3634	2903	3231	3551	3787	3316
Bacteria|Armatimonadetes	0	1	2	1	0	3	6	5	4	1	2	3	3	1	5	3	2	1
Bacteria|Bacteroidetes	324	308	973	378	660	258	404	902	966	853	405	351	654	763	543	453	580	674
Bacteria|Campilobacterota	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Candidatus_Saccharibacteria	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Chlamydiae	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi	209	308	85	248	235	140	181	353	198	216	267	219	555	148	254	242	244	255
Bacteria|Firmicutes	264	272	271	513	115	250	625	343	385	407	264	571	134	132	179	175	122	212
Bacteria|Gemmatimonadetes	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Ignavibacteriae	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Nitrospirae	5	6	3	7	3	6	10	6	9	7	11	15	9	9	9	38	13	19
Bacteria|Planctomycetes	7	26	13	5	1	7	57	67	30	16	28	45	24	20	26	20	12	12
Bacteria|Proteobacteria	7140	6114	7920	7893	10001	8488	6330	5210	5698	6320	6779	6109	6324	7604	6541	6726	6955	6861
Bacteria|Spirochaetes	7	3	12	13	16	10	12	13	14	23	18	10	11	21	15	19	7	24
Bacteria|Unassigned	50	76	68	62	65	59	58	59	62	41	48	51	57	62	64	53	73	50
Bacteria|Verrucomicrobia	11	5	13	3	8	11	22	12	32	17	38	43	25	20	28	24	13	14
Bacteria|Acidobacteria|Acidobacteria_Gp10	27	29	19	16	17	21	40	25	40	18	35	36	13	14	69	31	6	23
Bacteria|Acidobacteria|Acidobacteria_Gp17	1	5	3	0	3	5	20	6	3	2	14	11	9	9	11	2	3	5
Bacteria|Acidobacteria|Acidobacteria_Gp3	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Acidobacteria_Gp6	1	5	0	1	0	0	12	2	5	3	10	11	3	1	6	7	0	2
Bacteria|Acidobacteria|Vicinamibacteria	1	2	1	0	1	2	14	7	5	3	12	17	12	4	9	3	4	4
Bacteria|Actinobacteria|Acidimicrobiia	45	89	81	63	59	61	137	109	83	90	107	111	89	94	111	67	85	78
Bacteria|Actinobacteria|Actinobacteria	2363	3871	3173	2979	1786	2259	2360	2934	3084	2601	2855	2364	3330	2667	2914	3323	3483	3045
Bacteria|Actinobacteria|Rubrobacteria	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia	144	213	121	168	114	193	247	247	153	174	204	258	186	128	169	133	188	162
Bacteria|Actinobacteria|Unassigned	18	22	9	9	7	17	23	19	20	27	9	23	19	9	30	20	17	25
