ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	E1	E2	E3	E4	E5	E6	E7	O1	O2
OTU_118	3.759	16.373	0.239598753	0.670876508	NotSig	2.128	0.157	0.654	2.857	8.485	0.213	2.158	0.533	0	0.314	0
OTU_15	3.982	16.398	0.141565039	0.495477635	NotSig	3.726	0.236	0.654	4.286	5.455	0.532	8.633	6.525	0	0.472	0
OTU_1749	21.916	14.701	0.547615022	0.76666103	NotSig	0.396	0	0	0	0	0.106	0	2.663	0	0	0
OTU_1775	-5.874	16.841	0.05571677	0.390017387	NotSig	0.103	6.027	0	0	0	0	0.719	0	0	0.314	11.74
OTU_1903	22.492	15.333	0.789268026	0.920812697	NotSig	0.59	0	0	0	0	0	0	4.128	0	0	0
OTU_1979	-5.872	14.867	0.02375263	0.332536815	NotSig	0.038	2.227	0	0	0	0	0	0.266	0	2.987	1.468
OTU_27	23.731	16.259	0.547615022	0.76666103	NotSig	1.393	0	7.843	1.905	0	0	0	0	0	0	0
OTU_297	21.383	13.954	0.547615022	0.76666103	NotSig	0.273	0	0.327	1.587	0	0	0	0	0	0	0
OTU_371	2.977	14.398	0.759765826	0.920812697	NotSig	0.619	0.079	0	1.27	0	0.106	2.158	0.799	0	0.157	0
OTU_511	26.267	19.105	0.547615022	0.76666103	NotSig	8.077	0	0	0.159	0	56.383	0	0	0	0	0
OTU_73	22.772	13.732	0.101471247	0.473532485	NotSig	0.716	0	0.654	0.952	1.01	0.319	0.719	0	1.361	0	0
OTU_945	4.466	16.788	1	1	NotSig	1.738	0.079	0	0	11.313	0	0.719	0.133	0	0.157	0
OTU_981	23.25	15.62	0.384488122	0.76666103	NotSig	0.997	0	0	0	1.414	0.532	5.036	0	0	0	0
