Class	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Bacteroidia	29.7	19.9	43.4	18	26	0	25.4	18.7	32.1	28.4	31.2	31.5	30.9	21.7	26.9	20.5	6.73	28.1	25.9
Clostridia	62.4	66.4	48.9	54.1	50.8	82	19	31.5	23.2	18	22.6	23.9	20.2	0.306	2.45	3.06	0.612	9.79	24.1
Bacilli	0.306	3.06	2.75	5.81	7.95	3.98	5.5	30.3	5.5	35.5	1.22	13.1	15.6	41.3	45.3	38.8	58.1	25.7	17.8
Negativicutes	1.83	3.36	3.98	13.5	4.28	4.28	12.5	7.65	1.53	4.89	9.79	3.98	7.65	4.59	5.5	10.7	10.1	11.3	7.8
Fusobacteriia	0	0	0	0	0	0.306	8.26	5.81	16.8	9.79	11	2.75	7.34	1.83	3.06	6.12	2.75	11.3	7.5
Gammaproteobacteria	0	0	0	0	0	0	0.612	0.306	0	0.306	0	0.612	3.36	11.9	7.65	15.3	12.2	4.28	4.1
Spirochaetia	0	0	0	0	0	0	6.73	0	3.67	1.53	4.28	3.67	7.03	0	0	0	0	0	3.6
Actinobacteria	0.306	7.34	0	7.65	9.48	6.73	1.53	0	0	0	0	3.98	1.83	17.4	5.81	4.28	6.73	3.98	2.4
Synergistia	0	0	0	0	0	0	3.06	1.83	11.3	0.306	5.5	3.36	1.22	0	0.306	0	0	0	2.1
Saccharimonadia	0	0	0	0	0	0.306	5.2	0.306	0.306	0.306	3.98	4.89	0	0.917	1.22	0	2.14	4.28	2.1
Campylobacteria	0	0	0	0	0	0	1.22	0	1.53	0	2.14	0.306	3.06	0	0.917	0.306	0	0.612	0.9
Coriobacteriia	0.612	0	0.917	0.306	0	2.45	0	1.83	0	0.306	0.306	2.75	0.917	0	0.612	0.612	0.306	0.306	0.6
Desulfobulbia	0	0	0	0	0	0	10.1	1.83	3.67	0.306	6.73	3.67	0	0	0	0	0	0	0.3
Gracilibacteria	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0.306	0.306	0.306	0.306	0.2
Verrucomicrobiia	4.89	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Desulfovibrionia	0	0	0	0.612	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0.2
Anaerolineae	0	0	0	0	0	0	0.917	0	0.306	0.306	0.917	0.917	0	0	0	0	0	0	0.1
Syntrophomonadia	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0	0	0	0	0.1
