euclidean	E1	E3	E4	N1	E5	E6	O2	E2	N2	O1	S1	E7
E1	0	14.9	13.3	15.4	15.5	15.7	15.7	15.5	16.1	16.0	16.1	16.2
E3	14.9	0	12.4	14.6	14.4	14.9	14.9	14.8	15.3	15.3	15.3	15.4
E4	13.3	12.4	0	12.8	13.0	13.2	13.3	13.4	13.7	13.7	13.7	13.8
N1	15.4	14.6	12.8	0	15.1	15.3	15.3	15.4	15.6	15.7	15.7	15.7
E5	15.5	14.4	13.0	15.1	0	15.4	15.4	15.3	15.8	15.8	15.8	15.9
E6	15.7	14.9	13.2	15.3	15.4	0	15.7	15.7	16.0	15.8	16.0	16.1
O2	15.7	14.9	13.3	15.3	15.4	15.7	0	15.8	16.0	15.9	16.0	16.1
E2	15.5	14.8	13.4	15.4	15.3	15.7	15.8	0	16.1	16.1	16.1	16.2
N2	16.1	15.3	13.7	15.6	15.8	16.0	16.0	16.1	0	16.4	16.3	16.4
O1	16.0	15.3	13.7	15.7	15.8	15.8	15.9	16.1	16.4	0	16.4	16.5
S1	16.1	15.3	13.7	15.7	15.8	16.0	16.0	16.1	16.3	16.4	0	16.4
E7	16.2	15.4	13.8	15.7	15.9	16.1	16.1	16.2	16.4	16.5	16.4	0
