manhatten	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
E1	0	240.0	222.0	177.0	239.0	246.0	262.0	236.0	258.0	256.0	247.0	258.0
E2	240.0	0	220.0	179.0	233.0	246.0	264.0	236.0	260.0	258.0	249.0	260.0
E3	222.0	220.0	0	153.0	207.0	222.0	236.0	212.0	234.0	234.0	223.0	234.0
E4	177.0	179.0	153.0	0	170.0	175.0	191.0	165.0	187.0	187.0	176.0	187.0
E5	239.0	233.0	207.0	170.0	0	237.0	253.0	227.0	251.0	249.0	238.0	251.0
E6	246.0	246.0	222.0	175.0	237.0	0	260.0	234.0	256.0	250.0	245.0	256.0
E7	262.0	264.0	236.0	191.0	253.0	260.0	0	246.0	268.0	272.0	259.0	270.0
N1	236.0	236.0	212.0	165.0	227.0	234.0	246.0	0	244.0	248.0	235.0	246.0
N2	258.0	260.0	234.0	187.0	251.0	256.0	268.0	244.0	0	268.0	255.0	266.0
O1	256.0	258.0	234.0	187.0	249.0	250.0	272.0	248.0	268.0	0	253.0	268.0
O2	247.0	249.0	223.0	176.0	238.0	245.0	259.0	235.0	255.0	253.0	0	255.0
S1	258.0	260.0	234.0	187.0	251.0	256.0	270.0	246.0	266.0	268.0	255.0	0
