#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1647	323	539	214	326	284	323	402	507	424	317	401	315	615	654	477	522	422	406
ASV_2	588	334	663	601	732	506	206	147	348	389	277	215	346	403	213	306	379	335
ASV_3	188	147	283	228	320	256	183	129	319	316	252	213	254	499	291	326	303	223
ASV_4	464	122	141	198	346	139	172	174	115	176	170	114	274	348	168	149	298	241
ASV_5	16	41	58	10	45	47	402	254	224	128	302	439	406	344	303	199	422	117
ASV_8	167	153	155	108	58	87	111	152	456	258	161	162	168	211	155	269	116	143
ASV_6	261	193	236	242	388	307	80	87	99	117	110	125	133	139	122	139	125	135
ASV_7	73	37	298	122	312	66	40	372	228	147	55	70	193	245	150	66	161	221
ASV_18	152	287	81	114	75	152	121	112	108	157	189	126	205	170	208	114	174	116
ASV_9	101	219	99	126	57	151	99	126	195	138	162	129	145	76	127	129	205	162
ASV_10	95	103	186	206	273	191	61	57	67	97	109	92	101	157	63	67	147	68
ASV_11	96	110	69	96	130	109	153	118	69	137	102	53	113	123	153	115	79	116
ASV_14	67	44	91	88	151	92	54	152	145	96	146	61	118	78	126	81	150	157
ASV_12	98	111	91	107	115	99	76	61	105	104	94	75	98	145	124	148	78	94
ASV_15	93	126	104	93	102	119	122	84	80	71	106	113	75	65	95	108	82	100
ASV_13	9	37	167	94	39	68	61	228	173	158	92	40	74	78	62	39	141	151
ASV_16	71	64	129	77	41	59	53	81	185	101	64	50	126	80	68	90	223	112
ASV_17	142	88	93	122	111	163	47	36	64	63	74	49	88	69	82	87	76	72
ASV_28	94	97	21	133	29	60	53	96	34	75	77	61	105	103	65	93	128	67
ASV_20	55	111	18	77	50	52	20	52	11	57	33	31	61	76	26	33	424	43
ASV_30	75	66	39	35	22	56	87	55	58	53	66	86	53	59	100	82	60	98
ASV_23	42	38	294	20	5	12	93	54	28	55	56	45	40	9	80	63	58	103
ASV_21	44	93	56	33	25	38	63	63	51	45	62	60	54	91	51	73	99	58
ASV_1276	54	62	91	74	68	69	77	53	39	52	55	70	40	51	62	39	42	58
ASV_29	61	52	40	84	16	74	55	75	69	65	74	44	65	49	57	54	67	32
ASV_22	48	43	136	120	108	67	32	25	41	25	38	49	33	78	35	63	27	35
ASV_113	25	28	6	340	140	9	34	52	21	58	22	29	88	12	34	29	20	57
ASV_26	55	52	36	105	11	4	55	90	85	35	54	37	115	19	39	26	2	190
ASV_24	39	120	118	28	51	81	22	22	20	34	53	13	41	58	34	141	37	40
ASV_31	38	29	94	61	84	60	39	48	22	47	53	23	42	58	27	50	83	60
ASV_27	52	65	50	30	37	56	84	41	47	39	55	64	46	44	56	52	36	66
ASV_34	64	39	36	33	22	47	70	45	37	55	49	73	50	51	63	39	37	57
ASV_33	61	29	32	60	64	77	40	33	62	93	43	35	41	59	54	38	36	46
ASV_35	29	63	28	55	6	18	49	32	40	62	52	30	89	82	67	68	56	36
ASV_36	48	27	22	77	46	92	20	13	85	53	31	24	64	94	33	55	33	26
ASV_41	63	48	55	67	113	65	25	38	35	35	38	27	21	38	29	51	27	46
ASV_37	43	26	29	19	39	31	62	41	35	32	59	60	32	60	81	49	59	66
ASV_173	34	37	43	36	55	52	27	33	41	41	50	43	44	51	48	58	36	60
ASV_38	73	43	42	78	71	118	14	10	35	17	37	30	39	42	30	39	39	35
ASV_40	35	38	11	17	12	42	152	64	85	93	33	167	19	4	20	12	8	22
ASV_39	29	66	79	23	51	37	25	43	29	33	39	32	29	58	44	56	14	46
ASV_70	28	25	85	44	102	54	26	40	14	43	51	27	28	17	20	32	63	33
ASV_42	35	16	20	58	38	60	11	12	54	45	27	36	56	162	16	31	41	28
ASV_47	45	41	49	41	44	51	32	30	33	32	41	29	28	30	47	47	38	46
ASV_68	50	36	61	45	72	56	28	26	19	27	41	34	41	40	27	27	25	43
ASV_45	54	32	66	59	104	39	17	8	30	28	28	15	35	54	17	17	45	23
ASV_44	28	62	61	41	54	23	23	30	30	18	38	34	45	29	36	78	23	24
ASV_52	24	33	54	22	12	30	32	41	55	27	35	30	30	60	37	28	32	54
ASV_54	36	19	36	93	57	82	10	4	36	12	20	18	45	56	25	38	24	30
ASV_46	45	18	45	27	42	26	50	50	37	34	54	67	13	18	33	37	46	29
ASV_43	0	9	0	12	32	2	16	78	3	37	44	30	228	12	6	12	77	38
ASV_48	33	33	21	37	14	31	43	32	52	40	42	29	34	43	30	35	37	50
ASV_51	30	59	50	14	12	30	35	30	25	19	24	35	45	21	31	67	42	48
ASV_50	33	52	51	37	15	24	35	41	36	29	43	22	28	18	38	49	26	50
ASV_53	13	13	31	12	101	15	60	44	20	31	24	11	52	21	39	34	18	76
ASV_49	53	30	166	3	13	22	9	8	115	96	7	5	9	14	20	6	17	5
ASV_55	42	81	26	23	42	40	40	40	15	33	24	38	32	6	21	8	35	23
ASV_58	36	33	34	49	46	36	28	28	9	36	31	21	25	27	26	19	21	24
ASV_62	29	34	25	33	33	33	24	41	29	18	39	17	29	30	28	21	29	20
ASV_67	26	22	51	40	56	40	19	20	19	21	22	28	18	30	10	25	29	31
ASV_56	4	10	24	24	19	16	31	12	26	33	30	21	28	65	48	30	33	27
ASV_63	11	9	9	7	16	11	45	30	20	144	32	106	9	5	3	12	22	18
ASV_61	23	32	10	17	8	11	58	39	32	32	31	43	32	22	30	29	15	24
ASV_59	25	32	37	42	57	39	16	15	21	21	12	14	21	23	18	27	25	30
ASV_60	22	26	12	21	43	22	38	24	14	35	18	12	29	37	31	26	16	36
ASV_76	39	20	21	17	14	15	28	23	27	29	26	31	20	26	50	37	18	31
