bray_curtis	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.859	0.905	0.936	0.911	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.859	0	0.887	0.878	0.844	0.902	1.000	1.000	1.000	1.000	1.000	1.000	0.997	1.000	0.997	1.000	0.997	0.997
feces3	0.905	0.887	0	0.920	0.911	0.942	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.936	0.878	0.920	0	0.924	0.936	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces5	0.911	0.844	0.911	0.924	0	0.899	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	1.000	1.000
feces6	0.933	0.902	0.942	0.936	0.899	0	1.000	1.000	1.000	0.997	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.890	0.893	0.933	0.792	0.896	0.902	0.982	0.945	0.985	0.969	0.979
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.890	0	0.930	0.881	0.927	0.954	0.948	0.988	0.972	0.988	0.985	0.982
plaque3	1.000	1.000	1.000	1.000	1.000	1.000	0.893	0.930	0	0.914	0.865	0.930	0.865	0.994	0.969	0.988	0.982	0.972
plaque4	1.000	1.000	1.000	1.000	1.000	0.997	0.933	0.881	0.914	0	0.948	0.969	0.936	0.985	0.969	0.991	0.976	0.985
plaque5	1.000	1.000	1.000	1.000	1.000	0.997	0.792	0.927	0.865	0.948	0	0.875	0.890	0.994	0.985	0.994	0.976	0.963
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.896	0.954	0.930	0.969	0.875	0	0.832	0.945	0.911	0.942	0.933	0.939
saliva1	1.000	0.997	1.000	1.000	1.000	1.000	0.902	0.948	0.865	0.936	0.890	0.832	0	0.936	0.899	0.911	0.920	0.957
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.982	0.988	0.994	0.985	0.994	0.945	0.936	0	0.755	0.829	0.820	0.875
saliva3	1.000	0.997	1.000	1.000	1.000	1.000	0.945	0.972	0.969	0.969	0.985	0.911	0.899	0.755	0	0.798	0.798	0.804
saliva4	1.000	1.000	1.000	1.000	0.997	1.000	0.985	0.988	0.988	0.991	0.994	0.942	0.911	0.829	0.798	0	0.807	0.841
saliva5	1.000	0.997	1.000	1.000	1.000	1.000	0.969	0.985	0.982	0.976	0.976	0.933	0.920	0.820	0.798	0.807	0	0.856
saliva6	1.000	0.997	1.000	1.000	1.000	1.000	0.979	0.982	0.972	0.985	0.963	0.939	0.957	0.875	0.804	0.841	0.856	0
