jaccard_binary	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.805	0.850	0.869	0.846	0.872	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces2	0.805	0	0.858	0.858	0.780	0.873	1.000	1.000	1.000	1.000	1.000	1.000	0.996	1.000	0.995	1.000	0.995	0.995
feces3	0.850	0.858	0	0.890	0.879	0.901	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces4	0.869	0.858	0.890	0	0.880	0.878	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
feces5	0.846	0.780	0.879	0.880	0	0.894	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.995	1.000	1.000
feces6	0.872	0.873	0.901	0.878	0.894	0	1.000	1.000	1.000	0.991	0.994	1.000	1.000	1.000	1.000	1.000	1.000	1.000
plaque1	1.000	1.000	1.000	1.000	1.000	1.000	0	0.882	0.876	0.919	0.866	0.891	0.900	0.981	0.953	0.985	0.967	0.974
plaque2	1.000	1.000	1.000	1.000	1.000	1.000	0.882	0	0.888	0.935	0.913	0.932	0.926	0.979	0.963	0.981	0.976	0.971
plaque3	1.000	1.000	1.000	1.000	1.000	1.000	0.876	0.888	0	0.898	0.853	0.906	0.873	0.991	0.960	0.983	0.975	0.967
plaque4	1.000	1.000	1.000	1.000	1.000	0.991	0.919	0.935	0.898	0	0.917	0.951	0.919	0.979	0.958	0.985	0.960	0.975
plaque5	1.000	1.000	1.000	1.000	1.000	0.994	0.866	0.913	0.853	0.917	0	0.884	0.894	0.992	0.982	0.993	0.970	0.966
plaque6	1.000	1.000	1.000	1.000	1.000	1.000	0.891	0.932	0.906	0.951	0.884	0	0.845	0.935	0.902	0.935	0.927	0.943
saliva1	1.000	0.996	1.000	1.000	1.000	1.000	0.900	0.926	0.873	0.919	0.894	0.845	0	0.950	0.910	0.918	0.931	0.953
saliva2	1.000	1.000	1.000	1.000	1.000	1.000	0.981	0.979	0.991	0.979	0.992	0.935	0.950	0	0.783	0.829	0.873	0.863
saliva3	1.000	0.995	1.000	1.000	1.000	1.000	0.953	0.963	0.960	0.958	0.982	0.902	0.910	0.783	0	0.821	0.847	0.833
saliva4	1.000	1.000	1.000	1.000	0.995	1.000	0.985	0.981	0.983	0.985	0.993	0.935	0.918	0.829	0.821	0	0.852	0.871
saliva5	1.000	0.995	1.000	1.000	1.000	1.000	0.967	0.976	0.975	0.960	0.970	0.927	0.931	0.873	0.847	0.852	0	0.878
saliva6	1.000	0.995	1.000	1.000	1.000	1.000	0.974	0.971	0.967	0.975	0.966	0.943	0.953	0.863	0.833	0.871	0.878	0
