manhatten	feces1	feces4	feces6	feces2	feces5	plaque4	plaque2	feces3	plaque3	saliva2	plaque1	saliva3	plaque5	saliva4	saliva6	saliva5	plaque6	saliva1
feces1	0	86.0	82.0	91.0	99.0	135.0	139.0	130.0	175.0	183.0	205.0	212.0	200.0	197.0	200.0	201.0	206.0	218.0
feces4	86.0	0	72.0	91.0	95.0	121.0	125.0	130.0	161.0	169.0	191.0	198.0	186.0	183.0	186.0	187.0	192.0	204.0
feces6	82.0	72.0	0	89.0	93.0	113.0	119.0	128.0	155.0	163.0	185.0	192.0	178.0	177.0	180.0	181.0	186.0	198.0
feces2	91.0	91.0	89.0	0	92.0	144.0	148.0	139.0	184.0	192.0	214.0	219.0	209.0	206.0	207.0	208.0	215.0	225.0
feces5	99.0	95.0	93.0	92.0	0	144.0	148.0	145.0	184.0	192.0	214.0	221.0	209.0	204.0	209.0	210.0	215.0	227.0
plaque4	135.0	121.0	113.0	144.0	144.0	0	130.0	185.0	150.0	184.0	182.0	203.0	177.0	200.0	199.0	194.0	195.0	193.0
plaque2	139.0	125.0	119.0	148.0	148.0	130.0	0	189.0	150.0	188.0	172.0	209.0	179.0	202.0	201.0	204.0	191.0	199.0
feces3	130.0	130.0	128.0	139.0	145.0	185.0	189.0	0	225.0	233.0	255.0	262.0	250.0	247.0	250.0	251.0	256.0	268.0
plaque3	175.0	161.0	155.0	184.0	184.0	150.0	150.0	225.0	0	228.0	198.0	241.0	185.0	238.0	233.0	238.0	211.0	207.0
saliva2	183.0	169.0	163.0	192.0	192.0	184.0	188.0	233.0	228.0	0	252.0	173.0	253.0	180.0	195.0	200.0	231.0	249.0
plaque1	205.0	191.0	185.0	214.0	214.0	182.0	172.0	255.0	198.0	252.0	0	265.0	213.0	268.0	265.0	262.0	229.0	243.0
saliva3	212.0	198.0	192.0	219.0	221.0	203.0	209.0	262.0	241.0	173.0	265.0	0	276.0	197.0	204.0	211.0	240.0	254.0
plaque5	200.0	186.0	178.0	209.0	209.0	177.0	179.0	250.0	185.0	253.0	213.0	276.0	0	267.0	256.0	259.0	222.0	236.0
saliva4	197.0	183.0	177.0	206.0	204.0	200.0	202.0	247.0	238.0	180.0	268.0	197.0	267.0	0	209.0	202.0	243.0	245.0
saliva6	200.0	186.0	180.0	207.0	209.0	199.0	201.0	250.0	233.0	195.0	265.0	204.0	256.0	209.0	0	215.0	250.0	266.0
saliva5	201.0	187.0	181.0	208.0	210.0	194.0	204.0	251.0	238.0	200.0	262.0	211.0	259.0	202.0	215.0	0	243.0	255.0
plaque6	206.0	192.0	186.0	215.0	215.0	195.0	191.0	256.0	211.0	231.0	229.0	240.0	222.0	243.0	250.0	243.0	0	218.0
saliva1	218.0	204.0	198.0	225.0	227.0	193.0	199.0	268.0	207.0	249.0	243.0	254.0	236.0	245.0	266.0	255.0	218.0	0
